code,raison_sociale,type_personne,statut,forme_juridique,pays,ville,assujetti_tva,domicilie_sms,capital_social,valeur_nominale,nombre_part,created_at
CL2487,AUTO-20250814-162059-Import-B,PM,NOUVELLE CREATION,SUARL,TN,Sousse,0,1,0.000,0.000,0,2025-08-14 14:20:59.908059+00:00
CL12451,PP Long,PP,NOUVELLE CREATION,PP,TN,Tunis,1,0,0.000,0.000,0,2025-08-14 14:24:39.361289+00:00
CL12452,PM Long,PM,EXISTANTE NON EXERCANTE,SUARL,TN,,1,0,0.000,0.000,0,2025-08-14 14:24:39.371290+00:00
CL12453,AS Long,AS,EXERCANTE,ASSOCIATION,TN,,1,0,0.000,0.000,0,2025-08-14 14:24:39.383291+00:00
CL12454,Map NC,PM,NOUVELLE CREATION,SUARL,TN,,1,0,0.000,0.000,0,2025-08-14 14:24:39.396295+00:00
CL12455,Map EXNEX NBSP,PM,EXISTANTE NON EXERCANTE,SUARL,TN,,1,0,0.000,0.000,0,2025-08-14 14:24:39.407460+00:00
CL12456,Map EX,PM,EXERCANTE,SUARL,TN,,1,0,0.000,0.000,0,2025-08-14 14:24:39.418467+00:00
CL12457,Bool Num,PM,EXERCANTE,SUARL,FR,,0,1,1000.500,10.000,3,2025-08-14 14:24:39.434467+00:00
CL12458,PP Long AUTO-20250814-162448,PP,NOUVELLE CREATION,PP,TN,Tunis,1,0,0.000,0.000,0,2025-08-14 14:24:49.076645+00:00
CL12459,PM Long AUTO-20250814-162448,PM,EXISTANTE NON EXERCANTE,SUARL,TN,,1,0,0.000,0.000,0,2025-08-14 14:24:49.095156+00:00
CL12460,AS Long AUTO-20250814-162448,AS,EXERCANTE,ASSOCIATION,TN,,1,0,0.000,0.000,0,2025-08-14 14:24:49.109667+00:00
CL12461,Map NC AUTO-20250814-162448,PM,NOUVELLE CREATION,SUARL,TN,,1,0,0.000,0.000,0,2025-08-14 14:24:49.123640+00:00
CL12462,Map EXNEX NBSP AUTO-20250814-162448,PM,EXISTANTE NON EXERCANTE,SUARL,TN,,1,0,0.000,0.000,0,2025-08-14 14:24:49.136374+00:00
CL12463,Map EX AUTO-20250814-162448,PM,EXERCANTE,SUARL,TN,,1,0,0.000,0.000,0,2025-08-14 14:24:49.148111+00:00
CL12464,Bool Num AUTO-20250814-162448,PM,EXERCANTE,SUARL,FR,,0,1,1000.500,10.000,3,2025-08-14 14:24:49.164447+00:00
CL2501,AUTO-20250814-162448-Import-B,PM,NOUVELLE CREATION,SUARL,TN,Sousse,0,1,0.000,0.000,0,2025-08-14 14:24:49.300571+00:00
CL12465,PP Long,PP,NOUVELLE CREATION,PP,TN,Tunis,1,0,0.000,0.000,0,2025-08-14 14:26:38.527191+00:00
CL12466,PM Long,PM,EXISTANTE NON EXERCANTE,SUARL,TN,,1,0,0.000,0.000,0,2025-08-14 14:26:38.539194+00:00
CL12467,AS Long,AS,EXERCANTE,ASSOCIATION,TN,,1,0,0.000,0.000,0,2025-08-14 14:26:38.551809+00:00
CL12468,Map NC,PM,NOUVELLE CREATION,SUARL,TN,,1,0,0.000,0.000,0,2025-08-14 14:26:38.562960+00:00
CL12469,Map EXNEX NBSP,PM,EXISTANTE NON EXERCANTE,SUARL,TN,,1,0,0.000,0.000,0,2025-08-14 14:26:38.574941+00:00
CL12470,Map EX,PM,EXERCANTE,SUARL,TN,,1,0,0.000,0.000,0,2025-08-14 14:26:38.586057+00:00
CL12471,Bool Num,PM,EXERCANTE,SUARL,FR,,0,1,1000.500,10.000,3,2025-08-14 14:26:38.602066+00:00
CL-099985,batata,PM,EXERCANTE,,TN,Sousse,1,0,0.000,0.000,0,2025-08-14 14:34:14.563687+00:00
CL-15789,batata,PM,EXERCANTE,,TN,Sousse,1,0,0.000,0.000,0,2025-08-14 14:37:47.073430+00:00
CL-157959,batata,PM,EXERCANTE,,TN,Sousse,1,0,0.000,0.000,0,2025-08-14 14:38:18.055119+00:00
CL-1433339,batata,PM,EXERCANTE,,TN,Sousse,1,0,0.000,0.000,0,2025-08-14 14:40:21.558168+00:00
CL-17893339,batata,PM,EXERCANTE,,TN,Sousse,1,0,0.000,0.000,0,2025-08-14 14:41:40.520479+00:00
CL17893340,PP Long TSEED_1755182933_9802,PP,NOUVELLE CREATION,PP,TN,,1,0,0.000,0.000,0,2025-08-14 14:48:53.993653+00:00
CL17893341,PM Long TSEED_1755182933_9802,PM,EXISTANTE NON EXERCANTE,SUARL,TN,,1,0,0.000,0.000,0,2025-08-14 14:48:54.008428+00:00
CL17893342,AS Long TSEED_1755182933_9802,AS,EXERCANTE,ASSOCIATION,TN,,1,0,0.000,0.000,0,2025-08-14 14:48:54.020430+00:00
CL17893343,Map NC TSEED_1755182933_9802,PM,NOUVELLE CREATION,SUARL,TN,,1,0,0.000,0.000,0,2025-08-14 14:48:54.032430+00:00
CL17893344,Map EXNEX TSEED_1755182933_9802,PM,EXISTANTE NON EXERCANTE,SUARL,TN,,1,0,0.000,0.000,0,2025-08-14 14:48:54.044936+00:00
CL17893345,Map EX TSEED_1755182933_9802,PM,EXERCANTE,SUARL,TN,,1,0,0.000,0.000,0,2025-08-14 14:48:54.057027+00:00
CL17893346,AUTO TSEED_1755182933_9802,PM,EXERCANTE,SUARL,TN,Tunis,1,0,0.000,0.000,0,2025-08-14 14:48:54.076796+00:00
CL17893347,CSVSEED_1755182934_8359 A,PM,EXERCANTE,SUARL,TN,Testville,1,0,0.000,0.000,0,2025-08-14 14:48:54.167135+00:00
CL17893348,CSVSEED_1755182934_8359 B,PM,EXERCANTE,SUARL,TN,Testville,1,0,0.000,0.000,0,2025-08-14 14:48:54.178646+00:00
CL-178923339,batata,PM,EXERCANTE,,TN,Sousse,1,0,0.000,0.000,0,2025-08-14 14:52:06.039188+00:00
CL178923340,PP Long TSEED_1755183704_7254,PP,NOUVELLE CREATION,PP,TN,,1,0,0.000,0.000,0,2025-08-14 15:01:44.371650+00:00
CL178923341,PM Long TSEED_1755183704_7254,PM,EXISTANTE NON EXERCANTE,SUARL,TN,,1,0,0.000,0.000,0,2025-08-14 15:01:44.387912+00:00
CL178923342,AS Long TSEED_1755183704_7254,AS,EXERCANTE,ASSOCIATION,TN,,1,0,0.000,0.000,0,2025-08-14 15:01:44.399920+00:00
CL178923343,Map NC TSEED_1755183704_7254,PM,NOUVELLE CREATION,SUARL,TN,,1,0,0.000,0.000,0,2025-08-14 15:01:44.413252+00:00
CL178923344,Map EXNEX TSEED_1755183704_7254,PM,EXISTANTE NON EXERCANTE,SUARL,TN,,1,0,0.000,0.000,0,2025-08-14 15:01:44.425252+00:00
CL178923345,Map EX TSEED_1755183704_7254,PM,EXERCANTE,SUARL,TN,,1,0,0.000,0.000,0,2025-08-14 15:01:44.437257+00:00
CL178923346,AUTO TSEED_1755183704_7254,PM,EXERCANTE,SUARL,TN,Tunis,1,0,0.000,0.000,0,2025-08-14 15:01:44.457163+00:00
CL178923347,CSVSEED_1755183704_6993 A,PM,EXERCANTE,SUARL,TN,Testville,1,0,0.000,0.000,0,2025-08-14 15:01:44.541931+00:00
CL178923348,CSVSEED_1755183704_6993 B,PM,EXERCANTE,SUARL,TN,Testville,1,0,0.000,0.000,0,2025-08-14 15:01:44.553434+00:00
CL178923349,CSVSEED_1755183704_6993 A,PM,EXERCANTE,SUARL,TN,Testville,1,0,0.000,0.000,0,2025-08-14 15:01:44.572060+00:00
CL178923350,CSVSEED_1755183704_6993 B,PM,EXERCANTE,SUARL,TN,Testville,1,0,0.000,0.000,0,2025-08-14 15:01:44.579166+00:00
CL178923351,CSVSEED_1755183704_6993 A,PM,EXERCANTE,SUARL,TN,Testville,1,0,0.000,0.000,0,2025-08-14 15:01:44.592675+00:00
CL178923352,CSVSEED_1755183704_6993 B,PM,EXERCANTE,SUARL,TN,Testville,1,0,0.000,0.000,0,2025-08-14 15:01:44.602682+00:00
CL178923353,CSVSEED_1755183704_6993 A,PM,EXERCANTE,SUARL,TN,Testville,1,0,0.000,0.000,0,2025-08-14 15:01:44.615828+00:00
CL178923354,CSVSEED_1755183704_6993 B,PM,EXERCANTE,SUARL,TN,Testville,1,0,0.000,0.000,0,2025-08-14 15:01:44.623340+00:00
CL-1789523339,batata,PM,EXERCANTE,,TN,Sousse,1,0,0.000,0.000,0,2025-08-14 15:02:08.759099+00:00
CL1789523340,PP Long TSEED_1755183801_8741,PP,NOUVELLE CREATION,PP,TN,,1,0,0.000,0.000,0,2025-08-14 15:03:21.922078+00:00
CL1789523341,PM Long TSEED_1755183801_8741,PM,EXISTANTE NON EXERCANTE,SUARL,TN,,1,0,0.000,0.000,0,2025-08-14 15:03:21.937602+00:00
CL1789523342,AS Long TSEED_1755183801_8741,AS,EXERCANTE,ASSOCIATION,TN,,1,0,0.000,0.000,0,2025-08-14 15:03:21.951607+00:00
CL1789523343,Map NC TSEED_1755183801_8741,PM,NOUVELLE CREATION,SUARL,TN,,1,0,0.000,0.000,0,2025-08-14 15:03:21.965310+00:00
CL1789523344,Map EXNEX TSEED_1755183801_8741,PM,EXISTANTE NON EXERCANTE,SUARL,TN,,1,0,0.000,0.000,0,2025-08-14 15:03:21.978473+00:00
CL1789523345,Map EX TSEED_1755183801_8741,PM,EXERCANTE,SUARL,TN,,1,0,0.000,0.000,0,2025-08-14 15:03:21.990510+00:00
CL1789523346,AUTO TSEED_1755183801_8741,PM,EXERCANTE,SUARL,TN,Tunis,1,0,0.000,0.000,0,2025-08-14 15:03:22.012438+00:00
CL1789523347,CSVSEED_1755183802_3067 A,PM,EXERCANTE,SUARL,TN,Testville,1,0,0.000,0.000,0,2025-08-14 15:03:22.107216+00:00
CL1789523348,CSVSEED_1755183802_3067 B,PM,EXERCANTE,SUARL,TN,Testville,1,0,0.000,0.000,0,2025-08-14 15:03:22.119377+00:00
CL1789523349,CSVSEED_1755183802_3067 A,PM,EXERCANTE,SUARL,TN,Testville,1,0,0.000,0.000,0,2025-08-14 15:03:22.139566+00:00
CL1789523350,CSVSEED_1755183802_3067 B,PM,EXERCANTE,SUARL,TN,Testville,1,0,0.000,0.000,0,2025-08-14 15:03:22.147180+00:00
CL1789523351,CSVSEED_1755183802_3067 A,PM,EXERCANTE,SUARL,TN,Testville,1,0,0.000,0.000,0,2025-08-14 15:03:22.160823+00:00
CL1789523352,CSVSEED_1755183802_3067 B,PM,EXERCANTE,SUARL,TN,Testville,1,0,0.000,0.000,0,2025-08-14 15:03:22.169390+00:00
CL1789523353,CSVSEED_1755183802_3067 A,PM,EXERCANTE,SUARL,TN,Testville,1,0,0.000,0.000,0,2025-08-14 15:03:22.182005+00:00
CL1789523354,CSVSEED_1755183802_3067 B,PM,EXERCANTE,SUARL,TN,Testville,1,0,0.000,0.000,0,2025-08-14 15:03:22.196085+00:00
CL1789523355,PP Long TSEED_1755194099_3708,PP,NOUVELLE CREATION,PP,TN,,1,0,0.000,0.000,0,2025-08-14 17:54:59.948628+00:00
CL1789523356,PM Long TSEED_1755194099_3708,PM,EXISTANTE NON EXERCANTE,SUARL,TN,,1,0,0.000,0.000,0,2025-08-14 17:54:59.963798+00:00
CL1789523357,AS Long TSEED_1755194099_3708,AS,EXERCANTE,ASSOCIATION,TN,,1,0,0.000,0.000,0,2025-08-14 17:54:59.975321+00:00
CL1789523358,Map NC TSEED_1755194099_3708,PM,NOUVELLE CREATION,SUARL,TN,,1,0,0.000,0.000,0,2025-08-14 17:54:59.988497+00:00
CL1789523359,Map EXNEX TSEED_1755194099_3708,PM,EXISTANTE NON EXERCANTE,SUARL,TN,,1,0,0.000,0.000,0,2025-08-14 17:55:00.001322+00:00
CL1789523360,Map EX TSEED_1755194099_3708,PM,EXERCANTE,SUARL,TN,,1,0,0.000,0.000,0,2025-08-14 17:55:00.013671+00:00
